paml_node	raxml_node	n_tips	status
34	19	2	mapped
35	20	2	mapped
20	21	16	mapped
21	22	8	mapped
22	23	5	mapped
23	24	4	mapped
24	25	2	mapped
25	26	2	mapped
26	27	3	mapped
27	28	2	mapped
28	29	8	mapped
29	30	5	mapped
30	31	2	mapped
31	32	3	mapped
32	33	2	mapped
33	34	3	mapped
19	ROOT	18	mapped
