iqtree_node	raxml_node	n_tips	status
	19	2	unmapped
Node2	20	16	mapped
Node3	21	8	mapped
Node4	22	5	mapped
Node5	23	4	mapped
Node6	24	2	mapped
Node7	25	2	mapped
Node8	26	3	mapped
Node9	27	2	mapped
Node10	28	8	mapped
Node11	29	5	mapped
Node12	30	3	mapped
Node13	31	2	mapped
Node14	32	2	mapped
Node15	33	3	mapped
Node16	34	2	mapped
Node1	ROOT	18	mapped
